Дата;Время;ОРУ;Напряжение;Оборудование;Тип оборудования;Параметр;Значение;Норма;Статус;Комментарии
27.08.2025;12:04;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.А I эл.;0,7;0,5 - 1;✅ Норма;
27.08.2025;12:04;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.А II эл.;0,5;0,5 - 1;✅ Норма;
27.08.2025;12:04;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.В I эл.;0,5;0,5 - 1;✅ Норма;
27.08.2025;12:04;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.В II эл.;1;0,5 - 1;✅ Норма;
27.08.2025;12:04;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.С I эл.;1;0,5 - 1;✅ Норма;
27.08.2025;12:04;ОРУ-500;500;В-500 Р-500 2С;CIRCUIT_BREAKER;Уровень продувки ф.С II эл.;11;0,5 - 1;⚠️ Не норма;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-31;CIRCUIT_BREAKER;Давление элегаза ф.А;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-31;CIRCUIT_BREAKER;Давление элегаза ф.В;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШТ-31;CIRCUIT_BREAKER;Давление элегаза ф.С;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-31;CURRENT_TRANSFORMER;Уровень масла ф.А;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-31;CURRENT_TRANSFORMER;Уровень масла ф.В;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВШТ-31;CURRENT_TRANSFORMER;Уровень масла ф.С;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-30;CIRCUIT_BREAKER;Давление элегаза ф.А;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-30;CIRCUIT_BREAKER;Давление элегаза ф.В;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВЛТ-30;CIRCUIT_BREAKER;Давление элегаза ф.С;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВЛТ-30;CURRENT_TRANSFORMER;Уровень масла ф.А;1;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВЛТ-30;CURRENT_TRANSFORMER;Уровень масла ф.В;0,7;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;ТТ-500 ВЛТ-30;CURRENT_TRANSFORMER;Уровень масла ф.С;0,7;;⚪ Не проверено;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-32;CIRCUIT_BREAKER;Уровень продувки ф.А I эл.;1;0,5 - 1;✅ Норма;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-32;CIRCUIT_BREAKER;Уровень продувки ф.А II эл.;1;0,5 - 1;✅ Норма;
27.08.2025;12:04;ОРУ-500;500;В-500 ВШЛ-32;CIRCUIT_BREAKER;Уровень продувки ф.В I эл.;1;0,5 - 1;✅ Норма;
